"ticker","date","PX_LAST","rets","name","source","estrategia"
"GDUEEGF INDEX",1987-12-31,100,NA,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-01-31,109.838,0.0983799999999999,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-02-29,110.211,0.00339591034068354,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-03-31,122.046,0.107384925279691,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-04-30,128.561,0.05338151188896,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-05-31,132.413,0.0299624302860122,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-06-30,136.911,0.0339694742963303,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-07-31,133.431,-0.0254179722593509,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-08-31,129.857,-0.026785379709363,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-09-30,138.272,0.0648020514874053,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-10-31,137.379,-0.00645828511918534,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-11-30,136.792,-0.00427285101798669,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1988-12-31,140.427,0.0265731914147025,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-01-31,138.657,-0.0126044136811295,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-02-28,149.265,0.0765053333044849,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-03-31,164.137,0.0996348775667437,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-04-30,195.289,0.189792673193734,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-05-31,197.921,0.0134774616081808,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-06-30,173.906,-0.121336290742266,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-07-31,185.345,0.0657769139650155,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-08-31,189.647,0.0232107691062613,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-09-30,213.55,0.12603943115367,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-10-31,216.541,0.0140060875673145,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-11-30,206.448,-0.0466101107873336,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1989-12-31,231.649,0.122069479965899,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-01-31,239.272,0.0329075454674961,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-02-28,248.656,0.0392189641913805,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-03-31,215.014,-0.135295347789718,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-04-30,230.525,0.0721394885914406,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-05-31,249.46,0.0821385966814878,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-06-30,258.08,0.034554638018119,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-07-31,280.836,0.0881742095474272,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-08-31,245.007,-0.127579797461864,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-09-30,213.721,-0.127694310774794,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-10-31,209.753,-0.0185662616214598,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-11-30,198.807,-0.0521851892463994,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1990-12-31,207.209,0.0422620933870539,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-01-31,223.961,0.0808459092027856,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-02-28,257.094,0.147940936145132,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-03-31,267.66,0.0410978085836311,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-04-30,270.479,0.0105320182320854,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-05-31,291.701,0.0784608047205144,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-06-30,281.281,-0.0357215093537562,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-07-31,295.864,0.051844952200824,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-08-31,302.098,0.0210704918476057,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-09-30,290.518,-0.0383319320220592,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-10-31,302.373,0.040806421633083,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-11-30,297.88,-0.0148591309409239,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1991-12-31,331.349,0.112357325097355,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-01-31,369.708,0.115766155926229,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-02-29,386.133,0.0444269531630366,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-03-31,399.198,0.0338354919159978,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-04-30,396.425,-0.00694642758731245,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-05-31,395.003,-0.00358705934287706,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-06-30,355.819,-0.0991992465880005,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-07-31,359.688,0.0108735059117135,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-08-31,342.916,-0.046629300949712,"Emergentes","bbg","macromodel"
"GDUEEGF INDEX",1992-09-30,344.094,0.0034352436165126,"Emergentes","bbg","macromodel"
